Var1	BND	DEL	DUP	INV
ROP-1-ExC85-xgenV2_S7	0	5	0	28
ROP-100-ExC85-xgenV2_S67	0	1	0	0
ROP-102-ExC85-xgenV2_S68	0	2	1	0
ROP-103-ExC85-xgenV2_S69	0	1	0	0
ROP-105-ExC85-xgenV2_S70	0	2	0	1
ROP-108-ExC85-xgenV2_S72	0	0	0	2
ROP-109-ExC85-xgenV2_S73	0	2	1	1
ROP-110-ExC85-xgenV2_S74	0	1	0	0
ROP-114-ExC85-xgenV2_S77	0	1	0	1
ROP-117-ExC85-xgenV2_S80	0	1	0	0
ROP-119-ExC85-xgenV2_S82	0	2	0	2
ROP-12-ExC85-xgenV2_S9	1	0	0	0
ROP-133-ExC85-xgenV2_S95	0	3	0	0
ROP-14-ExC85-xgenV2_S10	0	1	0	2
ROP-15-ExC85-xgenV2_S11	0	17	0	0
ROP-16-ExC85-xgenV2_S12	0	8	1	170
ROP-17-ExC85-xgenV2_S13	0	0	0	41
ROP-18-ExC85-xgenV2_S14	0	1	0	6
ROP-19-ExC85-xgenV2_S15	0	2	1	11
ROP-20-ExC85-xgenV2_S16	0	6	1	0
ROP-32-ExC85-xgenV2_S23	0	4	5	1
ROP-33-ExC85-xgenV2_S24	0	1	0	0
ROP-34-ExC85-xgenV2_S25	0	1	0	0
ROP-36-ExC85-xgenV2_S26	0	9	6	1
ROP-38-ExC85-xgenV2_S28	0	1	0	0
ROP-42-ExC85-xgenV2_S29	0	0	0	1
ROP-45-ExC85-xgenV2_S31	0	1	0	12
ROP-46-ExC85-xgenV2_S32	0	2	0	0
ROP-47-ExC85-xgenV2_S33	1	2	0	1
ROP-50-ExC85-xgenV2_S34	0	0	0	1
ROP-51-ExC85-xgenV2_S35	0	1	0	0
ROP-53-ExC85-xgenV2_S36	0	1	0	11
ROP-54-ExC85-xgenV2_S37	0	1	0	0
ROP-56-ExC85-xgenV2_S38	0	1	0	0
ROP-57-ExC85-xgenV2_S39	0	2	0	40
ROP-58-ExC85-xgenV2_S40	0	2	0	1
ROP-59-ExC85-xgenV2_S41	0	1	0	0
ROP-60-ExC85-xgenV2_S42	0	4	0	1
ROP-61-ExC85-xgenV2_S43	1	2	0	1
ROP-65-ExC85-xgenV2_S44	0	0	0	450
ROP-68-ExC85-xgenV2_S45	0	0	0	221
ROP-69-ExC85-xgenV2_S46	0	2	1	0
ROP-71-ExC85-xgenV2_S48	0	0	1	0
ROP-75-ExC85-xgenV2_S50	0	2	1	0
ROP-76-ExC85-xgenV2_S51	0	1	0	0
ROP-78-ExC85-xgenV2_S52	0	5	1	0
ROP-85-ExC85-xgenV2_S55	0	0	0	1
ROP-86-ExC85-xgenV2_S56	0	2	0	0
ROP-92-ExC85-xgenV2_S60	0	0	0	1
ROP-93-ExC85-xgenV2_S61	0	3	0	1
ROP-94-ExC85-xgenV2_S62	0	1	0	5
ROP-97-ExC85-xgenV2_S65	0	0	0	2
ROP-98-ExC85-xgenV2_S66	0	1	0	0
