Var1	BND	DEL	DUP	INV	ALL
ROP-1-ExC85-xgenV2_S7	1	5	0	81	87
ROP-100-ExC85-xgenV2_S67	2	1	0	0	3
ROP-102-ExC85-xgenV2_S68	0	2	1	2	5
ROP-103-ExC85-xgenV2_S69	0	1	0	1	2
ROP-105-ExC85-xgenV2_S70	0	2	0	1	3
ROP-107-ExC85-xgenV2_S71	2	3	0	0	5
ROP-108-ExC85-xgenV2_S72	0	0	0	2	2
ROP-109-ExC85-xgenV2_S73	0	2	1	3	6
ROP-110-ExC85-xgenV2_S74	1	1	0	0	2
ROP-112-ExC85-xgenV2_S75	1	0	0	0	1
ROP-113-ExC85-xgenV2_S76	1	0	0	1	2
ROP-114-ExC85-xgenV2_S77	0	1	0	1	2
ROP-115-ExC85-xgenV2_S78	1	0	0	0	1
ROP-117-ExC85-xgenV2_S80	1	1	0	0	2
ROP-119-ExC85-xgenV2_S82	0	2	0	2	4
ROP-12-ExC85-xgenV2_S9	2	0	0	0	2
ROP-128-ExC85-xgenV2_S90	1	0	0	0	1
ROP-133-ExC85-xgenV2_S95	0	3	0	0	3
ROP-14-ExC85-xgenV2_S10	0	1	0	3	4
ROP-15-ExC85-xgenV2_S11	0	17	0	0	17
ROP-16-ExC85-xgenV2_S12	1	8	1	346	356
ROP-17-ExC85-xgenV2_S13	0	0	0	101	101
ROP-18-ExC85-xgenV2_S14	0	1	0	35	36
ROP-19-ExC85-xgenV2_S15	1	2	1	45	49
ROP-20-ExC85-xgenV2_S16	2	6	1	0	9
ROP-32-ExC85-xgenV2_S23	1	4	6	1	12
ROP-33-ExC85-xgenV2_S24	0	1	0	0	1
ROP-34-ExC85-xgenV2_S25	0	1	0	0	1
ROP-36-ExC85-xgenV2_S26	9	9	6	1	25
ROP-37-ExC85-xgenV2_S27	1	0	0	0	1
ROP-38-ExC85-xgenV2_S28	0	1	0	0	1
ROP-42-ExC85-xgenV2_S29	0	0	0	5	5
ROP-44-ExC85-xgenV2_S30	2	1	0	1	4
ROP-45-ExC85-xgenV2_S31	0	2	0	40	42
ROP-46-ExC85-xgenV2_S32	2	1	0	0	3
ROP-47-ExC85-xgenV2_S33	2	2	0	1	5
ROP-50-ExC85-xgenV2_S34	0	1	0	1	2
ROP-51-ExC85-xgenV2_S35	0	1	0	0	1
ROP-53-ExC85-xgenV2_S36	0	1	1	56	58
ROP-54-ExC85-xgenV2_S37	0	2	0	1	3
ROP-56-ExC85-xgenV2_S38	0	1	0	0	1
ROP-57-ExC85-xgenV2_S39	0	2	0	117	119
ROP-58-ExC85-xgenV2_S40	0	2	0	1	3
ROP-59-ExC85-xgenV2_S41	1	1	0	0	2
ROP-60-ExC85-xgenV2_S42	0	4	0	4	8
ROP-61-ExC85-xgenV2_S43	2	2	0	1	5
ROP-65-ExC85-xgenV2_S44	0	0	1	910	911
ROP-68-ExC85-xgenV2_S45	0	0	0	588	588
ROP-69-ExC85-xgenV2_S46	1	3	1	0	5
ROP-70-ExC85-xgenV2_S47	0	0	1	0	1
ROP-71-ExC85-xgenV2_S48	0	0	1	0	1
ROP-75-ExC85-xgenV2_S50	0	2	1	0	3
ROP-76-ExC85-xgenV2_S51	1	1	0	0	2
ROP-78-ExC85-xgenV2_S52	2	5	1	0	8
ROP-83-ExC85-xgenV2_S54	1	0	0	2	3
ROP-85-ExC85-xgenV2_S55	0	0	0	1	1
ROP-86-ExC85-xgenV2_S56	1	2	1	0	4
ROP-89-ExC85-xgenV2_S57	3	1	0	0	4
ROP-92-ExC85-xgenV2_S60	0	0	0	5	5
ROP-93-ExC85-xgenV2_S61	0	3	0	1	4
ROP-94-ExC85-xgenV2_S62	0	1	0	28	29
ROP-95-ExC85-xgenV2_S63	1	0	0	0	1
ROP-96-ExC85-xgenV2_S64	1	0	0	0	1
ROP-97-ExC85-xgenV2_S65	0	0	0	2	2
ROP-98-ExC85-xgenV2_S66	0	1	0	0	1
